variable,scale,scenario,temperature,data,model
'NEP','GLB','SSP126',0.375893549,334.9343103,'NorESM2-LM'
'NEP','GLB','SSP126',0.356388654,1364.78339,'NorESM2-LM'
'NEP','GLB','SSP126',0.276581148,1903.253829,'NorESM2-LM'
'NEP','GLB','SSP126',0.30279617,620.7207187,'NorESM2-LM'
'NEP','GLB','SSP126',0.288237013,453.642015,'NorESM2-LM'
'NEP','GLB','SSP126',0.252529641,1485.462167,'NorESM2-LM'
'NEP','GLB','SSP126',0.520513275,920.5207484,'NorESM2-LM'
'NEP','GLB','SSP126',0.519784202,945.0297731,'NorESM2-LM'
'NEP','GLB','SSP126',0.24694357,1562.880504,'NorESM2-LM'
'NEP','GLB','SSP126',0.297371072,786.3429051,'NorESM2-LM'
'NEP','GLB','SSP126',0.475880661,-139.4864142,'NorESM2-LM'
'NEP','GLB','SSP126',0.419357755,-252.1633389,'NorESM2-LM'
'NEP','GLB','SSP126',0.183376512,1104.818904,'NorESM2-LM'
'NEP','GLB','SSP126',0.319454696,170.5623515,'NorESM2-LM'
'NEP','GLB','SSP126',0.37988217,-113.5325376,'NorESM2-LM'
'NEP','GLB','SSP126',0.605780304,214.0866804,'NorESM2-LM'
'NEP','GLB','SSP126',0.518367867,-91.73797269,'NorESM2-LM'
'NEP','GLB','SSP126',0.382179157,849.3555474,'NorESM2-LM'
'NEP','GLB','SSP126',0.584061618,-880.0629419,'NorESM2-LM'
'NEP','GLB','SSP126',0.312168639,1290.712794,'NorESM2-LM'
'NEP','GLB','SSP126',0.32229925,870.5808389,'NorESM2-LM'
'NEP','GLB','SSP126',0.525330479,-84.57834014,'NorESM2-LM'
'NEP','GLB','SSP126',0.515763095,-1010.99057,'NorESM2-LM'
'NEP','GLB','SSP126',0.53853962,-866.046515,'NorESM2-LM'
'NEP','GLB','SSP126',0.336323563,-16.87808437,'NorESM2-LM'
'NEP','GLB','SSP126',0.398147375,-914.750494,'NorESM2-LM'
'NEP','GLB','SSP126',0.112898928,785.9743602,'NorESM2-LM'
'NEP','GLB','SSP126',0.00878461,824.2385088,'NorESM2-LM'
'NEP','GLB','SSP126',0.026835179,261.8505287,'NorESM2-LM'
'NEP','GLB','SSP126',0.150158566,-836.1209448,'NorESM2-LM'
'NEP','GLB','SSP126',0.388881959,-1753.782686,'NorESM2-LM'
'NEP','GLB','SSP126',0.408591879,-978.2906902,'NorESM2-LM'
'NEP','GLB','SSP126',0.466341424,-1171.855649,'NorESM2-LM'
'NEP','GLB','SSP126',0.307442072,-949.1692594,'NorESM2-LM'
'NEP','GLB','SSP126',0.421850215,-472.1107781,'NorESM2-LM'
'NEP','GLB','SSP126',0.444554343,-1240.08703,'NorESM2-LM'
'NEP','GLB','SSP126',0.25210644,-762.7327811,'NorESM2-LM'
'NEP','GLB','SSP126',-0.016543204,887.3408968,'NorESM2-LM'
'NEP','GLB','SSP126',0.216157695,-1046.7389,'NorESM2-LM'
'NEP','GLB','SSP126',0.26882861,-1760.641167,'NorESM2-LM'
'NEP','GLB','SSP126',0.046000316,-662.3639488,'NorESM2-LM'
'NEP','GLB','SSP126',0.209713769,-1750.189716,'NorESM2-LM'
'NEP','GLB','SSP126',-0.179817648,-1303.286311,'NorESM2-MM'
